סמל היישוב,שם יישוב,מחוז,נפה,צורת יישוב,מעמד מוניציפלי,אזור טבעי,אוכלוסייה - סך הכל,מזה: יהודים ואחרים,מזה: יהודים,מזה: ערבים,אשכול רשויות מקומיות
369,גלעד (אבן יצחק),הצפון,יזרעאל,קיבוצים,מגידו,רמת מנשה,491,490,474,1,אשכול רשויות הגליל והעמקים    
745,גמזו,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור מודיעין,"1,194","1,194","1,194",-,ללא שיוך לאשכול               
1072,גן הדרום,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גדרות,אזור רחובות,605,606,593,-,ללא שיוך לאשכול               
225,גן השומרון,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,מנשה,אזור חדרה,861,859,850,1,ללא שיוך לאשכול               
239,גן חיים,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,818,816,805,2,אשכול רשויות השרון            
734,גן יאשיה,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מזרח השרון,"1,040","1,039","1,026",-,ללא שיוך לאשכול               
166,גן יבנה,המרכז,רחובות,יישובים יהודיים 49999-20000 תושבים,מועצה מקומית,אזור רחובות,"24,574","24,502","23,624",73,ללא שיוך לאשכול               
1274,גן נר,הצפון,יזרעאל,יישובים יהודיים 4999-2000 תושבים,הגלבוע,עמק חרוד,"2,676","2,674","2,579",1,אשכול רשויות הגליל והעמקים    
311,גן שורק,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גן רווה,אזור ראשון לציון,703,701,701,2,ללא שיוך לאשכול               
144,גן שלמה,המרכז,רחובות,קיבוצים,ברנר,אזור רחובות,592,592,548,-,אשכול רשויות שורק דרומי       
72,גן שמואל,חיפה,חדרה,קיבוצים,מנשה,אזור חדרה,964,963,947,1,ללא שיוך לאשכול               
836,גנות,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,שדות דן,אזור רמלה,591,591,587,-,ללא שיוך לאשכול               
549,גנות הדר,המרכז,השרון,יישובים כפריים אחרים יהודיים,לב השרון,מערב השרון,946,946,935,-,אשכול רשויות השרון            
1103,גני הדר,המרכז,רמלה,יישובים כפריים אחרים יהודיים,גזר,אזור רמלה,371,371,368,-,ללא שיוך לאשכול               
1371,גני טל,המרכז,רחובות,יישובים קהילתיים,נחל שורק,אזור רחובות,923,923,923,-,אשכול רשויות שורק דרומי       
862,גני יוחנן,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גזר,אזור רחובות,599,599,585,-,ללא שיוך לאשכול               
3823,גני מודיעין,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מטה בנימין,,"2,735","2,735","2,725",-,אשכול יהודה ושומרון           
218,גני עם,המרכז,פתח תקווה,יישובים כפריים אחרים יהודיים,דרום השרון,דרום השרון,231,231,227,-,אשכול רשויות השרון            
229,גני תקווה,המרכז,פתח תקווה,יישובים יהודיים 49999-20000 תושבים,מועצה מקומית,אזור פתח תקווה,"23,646","23,632","23,222",13,ללא שיוך לאשכול               
541,ג'סר א-זרקא,חיפה,חדרה,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור חדרה,"15,502",13,-,"15,489",אשכול רשויות מישור החוף       
842,געש,המרכז,השרון,קיבוצים,חוף השרון,מערב השרון,946,946,934,-,ללא שיוך לאשכול               
463,געתון,הצפון,עכו,קיבוצים,מטה אשר,אזור יחיעם,725,722,705,3,אשכול רשויות גליל מערבי       
39,גפן,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,427,427,423,-,ללא שיוך לאשכול               
1129,גרופית,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,265,263,239,2,אשכול רשויות נגב מזרחי        
487,ג'ש (גוש חלב),הצפון,צפת,יישובים לא יהודיים 4999-2000 תושבים,מועצה מקומית,גליל עליון מזרחי,"3,216",48,40,"3,166",אשכול רשויות גליל מזרחי       
4022,גשור,הצפון,גולן,קיבוצים,גולן,גולן דרומי,321,321,307,-,אשכול רשויות גליל מזרחי       
305,גשר,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,462,461,447,1,אשכול רשויות הכנרת והעמקים    
574,גשר הזיו,הצפון,עכו,קיבוצים,מטה אשר,אזור נהרייה,"1,631","1,622","1,574",9,אשכול רשויות גליל מערבי       
628,ג'ת,חיפה,חדרה,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור חדרה,"12,645",12,3,"12,633",ללא שיוך לאשכול               
340,גת (קיבוץ),הדרום,אשקלון,קיבוצים,יואב,אזור מלאכי,973,973,941,-,אשכול רשויות שורק דרומי       
128,גת רימון,המרכז,פתח תקווה,יישובים כפריים אחרים יהודיים,דרום השרון,אזור פתח תקווה,298,298,289,-,אשכול רשויות השרון            
494,דאלית אל-כרמל,חיפה,חיפה,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור חיפה,"18,190",64,42,"18,126",אשכול רשויות המפרץ            
146,דבורה,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,225,225,215,1,אשכול רשויות הגליל והעמקים    
489,דבורייה,הצפון,יזרעאל,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הרי נצרת-תירען,"10,831",20,10,"10,812",אשכול רשויות הגליל והעמקים    
849,דביר,הדרום,באר שבע,קיבוצים,בני שמעון,אזור באר שבע,"1,071","1,067","1,041",4,אשכול רשויות נגב מערבי        
407,דברת,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,עמק יזרעאל,563,561,549,3,אשכול רשויות הגליל והעמקים    
62,דגניה א',הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,525,524,520,1,אשכול רשויות הכנרת והעמקים    
79,דגניה ב',הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,704,704,693,1,אשכול רשויות הכנרת והעמקים    
1067,"דוב""ב",הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מרום הגליל,אזור אילון,464,463,463,1,אשכול רשויות גליל מזרחי       
3747,דולב,יהודה והשומרון,,יישובים קהילתיים,מטה בנימין,,"1,613","1,613","1,612",-,אשכול יהודה ושומרון           
738,דור,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,חוף הכרמל,חוף הכרמל,465,465,460,-,אשכול רשויות מישור החוף       
336,דורות,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,915,914,888,1,אשכול רשויות נגב מערבי        
475,דחי,הצפון,יזרעאל,יישובים כפריים אחרים לא יהודיים,בוסתן אל-מרג',עמק יזרעאל,723,-,-,723,אשכול רשויות הגליל והעמקים    
490,דייר אל-אסד,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור כרמיאל,"13,078",6,5,"13,072",אשכול רשויות בית הכרם הגלילי  
492,דייר חנא,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור שפרעם,"10,747",15,1,"10,732",ללא שיוך לאשכול               
493,דייר ראפאת,ירושלים,ירושלים,יישובים מוסדיים לא יהודיים,מטה יהודה,שפלת יהודה,97,-,-,97,ללא שיוך לאשכול               
2200,דימונה,הדרום,באר שבע,יישובים יהודיים 49999-20000 תושבים,עירייה,הר הנגב הצפוני,"36,776","36,480","32,938",296,אשכול רשויות נגב מזרחי        
2063,דישון,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,גליל עליון מזרחי,339,339,331,-,אשכול רשויות גליל מזרחי       
300,דלייה,הצפון,יזרעאל,קיבוצים,מגידו,רמת מנשה,870,870,810,-,אשכול רשויות הגליל והעמקים    
431,דלתון,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,912,912,912,-,אשכול רשויות גליל מזרחי       
1317,דמיידה,הצפון,עכו,יישובים כפריים אחרים לא יהודיים,משגב,אזור שפרעם,563,-,-,563,אשכול רשויות בית הכרם הגלילי  
303,דן,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,799,797,777,1,אשכול רשויות גליל מזרחי       
302,דפנה,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,"1,073","1,072","1,055",1,אשכול רשויות גליל מזרחי       
1241,דקל,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,392,387,378,5,אשכול רשויות נגב מערבי        
1349,דריג'את,הדרום,באר שבע,יישובים כפריים אחרים לא יהודיים,אל קסום,אזור באר שבע,"1,339",4,-,"1,335",אשכול רשויות נגב מזרחי        
702,האון,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,179,179,166,-,אשכול רשויות הכנרת והעמקים    
675,הבונים,חיפה,חדרה,מושבים שיתופיים,חוף הכרמל,חוף הכרמל,383,384,379,-,אשכול רשויות מישור החוף       
356,הגושרים,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,"1,081","1,080","1,047",-,אשכול רשויות גליל מזרחי       
191,הדר עם,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,686,685,680,-,ללא שיוך לאשכול               
9700,הוד השרון,המרכז,פתח תקווה,יישובים יהודיים 99999-50000 תושבים,עירייה,דרום השרון,"65,614","65,569","64,060",45,אשכול רשויות השרון            
1322,הודיות,הצפון,כנרת,יישובים מוסדיים יהודיים,הגליל התחתון,גליל תחתון מזרחי,329,330,192,-,אשכול רשויות הכנרת והעמקים    
726,הודייה,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,חוף אשקלון,אזור אשקלון,604,603,595,1,אשכול רשויות נגב מערבי        
1186,הושעיה,הצפון,יזרעאל,יישובים יהודיים 4999-2000 תושבים,עמק יזרעאל,הרי נצרת-תירען,"2,057","2,057","2,057",-,אשכול רשויות הגליל והעמקים    
250,הזורע,הצפון,יזרעאל,קיבוצים,מגידו,אזור יקנעם,930,930,881,-,אשכול רשויות הגליל והעמקים    
307,הזורעים,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,הגליל התחתון,גליל תחתון מזרחי,"1,134","1,134","1,133",-,אשכול רשויות הכנרת והעמקים    
434,החותרים,חיפה,חדרה,קיבוצים,חוף הכרמל,חוף הכרמל,903,902,881,1,אשכול רשויות מישור החוף       
684,היוגב,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק יזרעאל,עמק יזרעאל,833,833,827,-,אשכול רשויות הגליל והעמקים    
1208,הילה,הצפון,עכו,יישובים קהילתיים,מעלה יוסף,אזור יחיעם,549,547,534,2,אשכול רשויות גליל מערבי       
377,המעפיל,המרכז,השרון,קיבוצים,עמק חפר,מזרח השרון,870,870,865,-,ללא שיוך לאשכול               
1751,המרכז למחקר-נחל שורק,המרכז,רחובות,מוקד תעסוקה,,אזור ראשון לציון,-,-,-,-,ללא שיוך לאשכול               
677,הסוללים,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,הרי נצרת-תירען,983,980,955,3,אשכול רשויות הגליל והעמקים    
423,העוגן,המרכז,השרון,קיבוצים,עמק חפר,מערב השרון,965,965,935,-,ללא שיוך לאשכול               
3769,הר אדר,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,,"4,065","4,057","3,932",7,אשכול יהודה ושומרון           
3603,הר גילה,יהודה והשומרון,,יישובים קהילתיים,גוש עציון,,"1,655","1,638","1,596",17,ללא שיוך לאשכול               
1261,הר עמשא,הדרום,באר שבע,קיבוצים,תמר,אזור באר שבע,237,232,202,5,ללא שיוך לאשכול               
464,הראל,ירושלים,ירושלים,קיבוצים,מטה יהודה,שפלת יהודה,266,266,257,-,ללא שיוך לאשכול               
1249,הרדוף,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,הרי נצרת-תירען,"1,131","1,124","1,071",6,אשכול רשויות הגליל והעמקים    
6400,הרצלייה,תל אביב,תל אביב,יישובים יהודיים 199999-100000 תושבים,עירייה,אזור תל אביב,"106,741","106,507","100,964",233,ללא שיוך לאשכול               
1203,הררית,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,644,644,624,-,אשכול רשויות בית הכרם הגלילי  
3639,ורד יריחו,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,מגילות ים המלח,,377,378,364,-,אשכול יהודה ושומרון           
1133,ורדון,הדרום,אשקלון,יישובים כפריים אחרים יהודיים,יואב,אזור מלאכי,267,267,263,-,אשכול רשויות שורק דרומי       
815,זבדיאל,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,שפיר,אזור מלאכי,629,629,629,-,ללא שיוך לאשכול               
44,זוהר,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,לכיש,אזור לכיש,327,327,324,-,ללא שיוך לאשכול               
584,זיקים,הדרום,אשקלון,קיבוצים,חוף אשקלון,אזור אשקלון,918,902,858,15,אשכול רשויות נגב מערבי        
788,זיתן,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,שדות דן,אזור רמלה,"1,015","1,015","1,011",-,ללא שיוך לאשכול               
9300,זכרון יעקב,חיפה,חדרה,יישובים יהודיים 49999-20000 תושבים,מועצה מקומית,אזור זכרון יעקב,"24,145","24,090","23,152",55,אשכול רשויות מישור החוף       
799,זכריה,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,"1,125","1,119","1,104",5,ללא שיוך לאשכול               
1290,זמר,המרכז,השרון,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,מזרח השרון,"7,457",4,1,"7,453",ללא שיוך לאשכול               
1065,זמרת,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,685,684,683,1,אשכול רשויות נגב מערבי        
816,זנוח,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,530,516,512,15,ללא שיוך לאשכול               
2064,זרועה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,532,531,522,1,אשכול רשויות נגב מערבי        
975,זרזיר,הצפון,יזרעאל,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,הרי נצרת-תירען,"8,565",21,13,"8,543",אשכול רשויות הגליל והעמקים    
818,זרחיה,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,שפיר,אזור מלאכי,737,737,737,-,ללא שיוך לאשכול               
235,חבצלת השרון,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,474,474,459,-,ללא שיוך לאשכול               
1110,חבר,הצפון,יזרעאל,יישובים כפריים אחרים יהודיים,הגלבוע,עמק יזרעאל,874,874,832,-,אשכול רשויות הגליל והעמקים    
717,חגור,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,"1,146","1,146","1,128",-,אשכול רשויות השרון            
3764,חגי,יהודה והשומרון,,יישובים קהילתיים,הר חברון,,725,725,725,-,אשכול יהודה ושומרון           
205,חגלה,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,864,864,860,-,ללא שיוך לאשכול               
618,חדיד,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור רמלה,931,930,924,-,ללא שיוך לאשכול               
4026,חד-נס,הצפון,גולן,יישובים קהילתיים,גולן,גולן תיכוני,889,889,840,-,אשכול רשויות גליל מזרחי       
6500,חדרה,חיפה,חדרה,יישובים יהודיים 199999-100000 תושבים,עירייה,אזור חדרה,"103,041","101,997","93,711","1,044",ללא שיוך לאשכול               
1321,ח'ואלד,חיפה,חיפה,יישובים כפריים אחרים לא יהודיים,זבולון,אזור חיפה,773,-,-,773,אשכול רשויות המפרץ            
160,חולדה,המרכז,רמלה,קיבוצים,גזר,אזור רמלה,"1,187","1,187","1,178",-,ללא שיוך לאשכול               
6600,חולון,תל אביב,,יישובים יהודיים 199999-100000 תושבים,עירייה,אזור חולון,"197,957","197,602","179,629",356,ללא שיוך לאשכול               
1239,חולית,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,210,208,198,1,אשכול רשויות נגב מערבי        
253,חולתה,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,754,753,735,1,אשכול רשויות גליל מזרחי       
662,חוסן,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור יחיעם,"1,193","1,190","1,139",4,אשכול רשויות גליל מערבי       
1332,חוסנייה,הצפון,עכו,יישובים כפריים אחרים לא יהודיים,משגב,אזור כרמיאל,851,5,-,846,אשכול רשויות בית הכרם הגלילי  
115,חופית,המרכז,השרון,יישובים כפריים אחרים יהודיים,עמק חפר,מערב השרון,815,815,804,-,ללא שיוך לאשכול               
374,חוקוק,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,646,640,600,7,אשכול רשויות הכנרת והעמקים    
1303,חורה,הדרום,באר שבע,יישובים לא יהודיים 49999-20000 תושבים,מועצה מקומית,אזור באר שבע,"24,822",33,13,"24,789",אשכול רשויות נגב מזרחי        
496,חורפיש,הצפון,עכו,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור אילון,"6,639",1,-,"6,638",אשכול רשויות גליל מערבי       
355,חורשים,המרכז,פתח תקווה,קיבוצים,דרום השרון,דרום השרון,350,345,334,5,אשכול רשויות השרון            
1047,חזון,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל תחתון מרכזי,293,293,293,-,אשכול רשויות גליל מזרחי       
219,חיבת ציון,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,875,876,872,-,ללא שיוך לאשכול               
3643,חיננית,יהודה והשומרון,יהודה ושומרון,יישובים קהילתיים,שומרון,,"1,659","1,659","1,488",-,אשכול יהודה ושומרון           
4000,חיפה,חיפה,חיפה,יישובים יהודיים 499999-200000 תושבים,עירייה,אזור חיפה,"290,306","255,136","212,330","35,170",ללא שיוך לאשכול               
162,חירות,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,לב השרון,מערב השרון,"1,246","1,240","1,230",6,אשכול רשויות השרון            
1272,חלוץ,הצפון,עכו,יישובים קהילתיים,משגב,אזור יחיעם,551,550,535,1,אשכול רשויות בית הכרם הגלילי  
820,חלץ,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,חוף אשקלון,אזור אשקלון,504,500,497,4,אשכול רשויות נגב מערבי        
801,"חמ""ד",המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,שדות דן,אזור רמלה,"1,360","1,360","1,354",-,ללא שיוך לאשכול               
993,חמאם,הצפון,כנרת,יישובים כפריים אחרים לא יהודיים,אל-בטוף,כנרות,"1,561",1,1,"1,561",אשכול רשויות הכנרת והעמקים    
343,חמדיה,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,439,437,421,2,אשכול רשויות הכנרת והעמקים    
3646,חמדת,יהודה והשומרון,,יישובים קהילתיים,ערבות הירדן,,361,361,360,-,אשכול יהודה ושומרון           
3609,חמרה,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,224,224,218,-,אשכול יהודה ושומרון           
807,חניאל,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,916,916,896,-,ללא שיוך לאשכול               
280,חניתה,הצפון,עכו,קיבוצים,מטה אשר,אזור אילון,746,745,720,1,אשכול רשויות גליל מערבי       
1257,חנתון,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,הרי נצרת-תירען,"1,008","1,007",996,1,אשכול רשויות הגליל והעמקים    
4005,חספין,הצפון,גולן,יישובים יהודיים 4999-2000 תושבים,גולן,גולן דרומי,"2,175","2,175","2,170",-,אשכול רשויות גליל מזרחי       
363,חפץ חיים,המרכז,רחובות,קיבוצים,נחל שורק,אזור רחובות,575,575,575,-,אשכול רשויות שורק דרומי       
90,חפצי-בה,הצפון,יזרעאל,קיבוצים,הגלבוע,עמק חרוד,758,756,732,1,אשכול רשויות הגליל והעמקים    
700,חצב,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,525","1,525","1,497",1,אשכול רשויות שורק דרומי       
13,חצבה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,הערבה התיכונה,הערבה,723,713,675,10,אשכול רשויות נגב מזרחי        
2034,חצור הגלילית,הצפון,צפת,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,אזור חצור,"10,047","10,000","9,753",46,אשכול רשויות גליל מזרחי       
406,חצור-אשדוד,הדרום,אשקלון,קיבוצים,באר טוביה,אזור מלאכי,690,688,666,2,אשכול רשויות שורק דרומי       
397,חצרים,הדרום,באר שבע,קיבוצים,בני שמעון,אזור באר שבע,864,863,845,-,אשכול רשויות נגב מערבי        
422,חרב לאת,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,940,939,915,-,ללא שיוך לאשכול               
1024,חרוצים,המרכז,השרון,יישובים כפריים אחרים יהודיים,חוף השרון,מערב השרון,916,916,898,-,ללא שיוך לאשכול               
1247,חריש,חיפה,חדרה,יישובים יהודיים 49999-20000 תושבים,עירייה,הר אלכסנדר,"33,380","32,919","29,985",461,ללא שיוך לאשכול               
3717,חרמש,יהודה והשומרון,יהודה ושומרון,יישובים קהילתיים,שומרון,,245,245,228,-,אשכול יהודה ושומרון           
1209,חרשים,הצפון,עכו,יישובים קהילתיים,משגב,אזור יחיעם,373,373,358,-,אשכול רשויות בית הכרם הגלילי  
3770,חשמונאים,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מטה בנימין,,"2,589","2,589","2,585",-,אשכול יהודה ושומרון           
6700,טבריה,הצפון,כנרת,יישובים יהודיים 49999-20000 תושבים,עירייה,כנרות,"48,472","47,743","44,540",729,אשכול רשויות הכנרת והעמקים    
962,טובא-זנגרייה,הצפון,צפת,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור חצור,"7,095",6,5,"7,088",אשכול רשויות גליל מזרחי       
498,טורעאן,הצפון,,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הרי נצרת-תירען,"14,809",4,2,"14,805",אשכול רשויות הכנרת והעמקים    
2730,טייבה,המרכז,השרון,יישובים לא יהודיים 49999-20000 תושבים,עירייה,מזרח השרון,"46,020",65,30,"45,956",אשכול רשויות השרון            
497,טייבה (בעמק),הצפון,יזרעאל,יישובים כפריים אחרים לא יהודיים,הגלבוע,רמת כוכב,"1,986",5,5,"1,981",אשכול רשויות הגליל והעמקים    
2720,טירה,המרכז,השרון,יישובים לא יהודיים 49999-20000 תושבים,עירייה,מזרח השרון,"27,802",83,31,"27,720",אשכול רשויות השרון            
663,טירת יהודה,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור פתח תקווה,"1,228","1,228","1,227",-,ללא שיוך לאשכול               
2100,טירת כרמל,חיפה,חיפה,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור חיפה,"28,753","28,518","26,284",234,אשכול רשויות המפרץ            
268,טירת צבי,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,"1,021","1,021","1,021",-,אשכול רשויות הכנרת והעמקים    
462,טל שחר,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,"1,350","1,349","1,318",-,ללא שיוך לאשכול               
1181,טל-אל,הצפון,עכו,יישובים קהילתיים,משגב,אזור יחיעם,"1,271","1,271","1,229",-,אשכול רשויות בית הכרם הגלילי  
1177,טללים,הדרום,באר שבע,קיבוצים,רמת נגב,הר הנגב הצפוני,610,610,590,-,אשכול רשויות נגב מזרחי        
3788,טלמון,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מטה בנימין,,"5,379","5,380","5,377",-,אשכול יהודה ושומרון           
8900,טמרה,הצפון,עכו,יישובים לא יהודיים 49999-20000 תושבים,עירייה,אזור שפרעם,"35,834",40,12,"35,794",אשכול רשויות המפרץ            
547,טמרה (יזרעאל),הצפון,יזרעאל,יישובים כפריים אחרים לא יהודיים,הגלבוע,רמת כוכב,"1,677",1,-,"1,676",אשכול רשויות הגליל והעמקים    
3743,טנא,יהודה והשומרון,,יישובים קהילתיים,הר חברון,,985,985,970,-,אשכול יהודה ושומרון           
1214,טפחות,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל תחתון מרכזי,492,492,492,-,אשכול רשויות גליל מזרחי       
1295,יאנוח-ג'ת,הצפון,עכו,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור יחיעם,"6,930",1,1,"6,929",ללא שיוך לאשכול               
1232,יבול,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,352,352,350,-,אשכול רשויות נגב מערבי        
46,יבנאל,הצפון,כנרת,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,גליל תחתון מזרחי,"4,542","4,539","4,468",3,אשכול רשויות הכנרת והעמקים    
2660,יבנה,המרכז,רחובות,יישובים יהודיים 99999-50000 תושבים,עירייה,אזור רחובות,"56,232","56,145","54,305",88,ללא שיוך לאשכול               
96,יגור,חיפה,חיפה,קיבוצים,זבולון,אזור חיפה,"1,662","1,661","1,558",1,אשכול רשויות המפרץ            
798,יגל,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,שדות דן,אזור רמלה,905,905,904,-,ללא שיוך לאשכול               
577,יד בנימין,המרכז,רחובות,יישובים יהודיים 4999-2000 תושבים,נחל שורק,אזור רחובות,"4,278","4,274","4,272",4,אשכול רשויות שורק דרומי       
1134,יד השמונה,ירושלים,ירושלים,מושבים שיתופיים,מטה יהודה,הרי יהודה,307,308,138,-,ללא שיוך לאשכול               
758,יד חנה,המרכז,השרון,קיבוצים,עמק חפר,מזרח השרון,"1,009","1,007",990,2,ללא שיוך לאשכול               
358,יד מרדכי,הדרום,אשקלון,קיבוצים,חוף אשקלון,אזור אשקלון,830,825,795,5,אשכול רשויות נגב מערבי        
775,יד נתן,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,לכיש,אזור לכיש,631,630,620,1,ללא שיוך לאשכול               
64,"יד רמב""ם",המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,גזר,אזור רמלה,"1,116","1,116","1,100",-,ללא שיוך לאשכול               
1144,ידידה,ירושלים,ירושלים,יישובים מוסדיים יהודיים,מטה יהודה,הרי יהודה,222,221,215,1,ללא שיוך לאשכול               
9400,יהוד-מונוסון,המרכז,פתח תקווה,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור פתח תקווה,"31,405","31,352","30,662",54,ללא שיוך לאשכול               
1158,יהל,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,267,267,240,-,אשכול רשויות נגב מזרחי        
2009,יובל,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,עמק חולה,662,660,659,2,אשכול רשויות גליל מזרחי       
1226,יובלים,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,"1,100","1,101","1,088",-,אשכול רשויות בית הכרם הגלילי  
1112,יודפת,הצפון,עכו,מושבים שיתופיים,משגב,אזור שפרעם,964,962,925,1,אשכול רשויות בית הכרם הגלילי  
4007,יונתן,הצפון,גולן,מושבים שיתופיים,גולן,גולן תיכוני,860,860,860,-,אשכול רשויות גליל מזרחי       
803,יושיביה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,747,745,743,1,אשכול רשויות נגב מערבי        
452,יזרעאל,הצפון,יזרעאל,קיבוצים,הגלבוע,עמק יזרעאל,542,542,521,-,אשכול רשויות הגליל והעמקים    
